,full_name,rating,team,position,height,weight,salary
398,Miles Plumlee,70,,F-C,83,255 ,$12500000
399,Caleb Swanigan,70,Portland Trail Blazers,C,81,249 ,$2033160
400,Jarred Vanderbilt,70,Minnesota Timberwolves,F,81,214 ,$1416852
401,Jemerrio Jones,70,,F,77,201 ,$195077
402,Jordan Poole,70,Golden State Warriors,G,76,194 ,$1964760
403,Talen Horton-Tucker,70,Los Angeles Lakers,G,76,234 ,$898310
404,Yante Maten,70,,F-C,80,240 ,$100000
405,Thanasis Antetokounmpo,70,Milwaukee Bucks,F,78,215 ,$1445697
406,Naz Reid,70,Minnesota Timberwolves,C,81,249 ,$898310
407,Ignas Brazdeikis,70,New York Knicks,F,78,216 ,$898310
408,Deonte Burton,70,Oklahoma City Thunder,G,76,240 ,$1416852
409,Justin James,70,Sacramento Kings,G,79,190 ,$898310
410,Henry Ellenson,69,,F-C,82,242 ,$79568
411,Devonte Graham,69,Charlotte Hornets,G,73,185 ,$1416852
412,Amile Jefferson,69,,F-C,81,224 ,$1529007
413,Khyri Thomas,69,Detroit Pistons,G,75,210 ,$1416852
414,Theo Pinson,69,New York Knicks,G,77,220 ,$1445697
415,Gary Clark,69,Orlando Magic,F,78,225 ,$1427191
416,Terance Mann,69,Los Angeles Clippers,G,77,215 ,$1000000
417,Cam Reynolds,69,Milwaukee Bucks,G,79,225 ,$79568
418,Tyrone Wallace,69,,G-F,77,200 ,$502491
419,Miye Oni,69,Utah Jazz,F,77,210 ,$898310
420,Malcolm Miller,69,Toronto Raptors,F,79,205 ,$1588231
421,Isaac Bonga,68,Washington Wizards,G,80,200 ,$1416852
422,Isaiah Hartenstein,68,,F-C,84,250 ,$1416852
423,Jordan McRae,68,Detroit Pistons,G,77,179 ,$1254933
424,Brandon Goodwin,68,Atlanta Hawks,G,72,180 ,$522738
425,Michael Frazier,68,Houston Rockets,G,75,200 ,$79568
426,Kostas Antetokounmpo,68,Los Angeles Lakers,F,82,200 ,$79568
427,Jalen Lecque,68,Phoenix Suns,G,75,190 ,$898310
428,Duncan Robinson,67,Miami Heat,F,79,215 ,$1416852
429,LeBron James,97,Los Angeles Lakers,F,81,250 ,$39219566
