player,age,team,position,ppg,assists_per_game,rebounds_per_game,min_per_game
Marc Gasol,35,TOR,C,7.5,3.3,6.3,26.4
Dwight Howard,34,LAL,C,7.5,0.7,7.3,18.9
Trey Burke,27,2TM,PG,7.4,2.5,1.5,15.8
Trey Burke,27,PHI,PG,5.9,2.1,1.4,13.2
Trey Burke,27,DAL,PG,12,3.8,1.9,23.9
Bismack Biyombo,27,CHO,C,7.4,0.9,5.8,19.4
Ky Bowman,22,GSW,PG,7.4,2.9,2.7,22.6
Gorgui Dieng,30,2TM,C,7.4,1.2,5.6,17.4
Gorgui Dieng,30,MIN,C,7.4,1.3,5.6,16.9
Gorgui Dieng,30,MEM,C,7.2,0.9,5.8,18.7
Jaxson Hayes,19,NOP,C,7.4,0.9,4,16.9
Tyus Jones,23,MEM,PG,7.4,4.4,1.6,19
Ian Mahinmi,33,WAS,C,7.4,1.3,5.7,21.3
Wesley Matthews,33,MIL,SG,7.4,1.4,2.5,24.4
Nerlens Noel,25,OKC,C,7.4,0.9,4.9,18.5
Brandon Knight,28,2TM,SG,7.3,2.8,1.6,18.5
Brandon Knight,28,CLE,SG,4.9,1.9,1.3,15.1
Brandon Knight,28,DET,PG,11.6,4.2,2.3,24.6
Kris Dunn,25,CHI,PG,7.3,3.4,3.6,24.9
Emmanuel Mudiay,23,UTA,PG,7.3,2.1,2.3,15.7
Willie Cauley-Stein,26,2TM,C,7.2,1.3,5.8,20.3
Willie Cauley-Stein,26,GSW,C,7.9,1.5,6.2,22.9
Willie Cauley-Stein,26,DAL,C,5.2,0.8,4.6,12.1
Michael Carter-Williams,28,ORL,SG,7.2,2.4,3.3,18.5
Mason Plumlee,29,DEN,C,7.2,2.5,5.2,17.3
Jeremiah Martin,23,BRK,PG,7.1,2,1.1,11
Rajon Rondo,33,LAL,PG,7.1,5,3,20.5
Tyler Johnson,27,2TM,SG,7,1.9,1.9,18.2
Tyler Johnson,27,PHO,PG,5.7,1.6,1.7,16.6
Tyler Johnson,27,BRK,SG,12,3,3,24.3
Zach Collins,22,POR,PF,7,1.5,6.3,26.4
Rondae Hollis-Jefferson,25,TOR,PF,7,1.8,4.7,18.7
Hamidou Diallo,21,OKC,SF,6.9,0.8,3.6,19.5
Harry Giles,21,SAC,C,6.9,1.3,4.1,14.5
Frank Mason III,25,MIL,PG,6.9,3.2,2.1,13.1
P.J. Tucker,34,HOU,PF,6.9,1.6,6.6,34.3
Brad Wanamaker,30,BOS,PG,6.9,2.5,2,19.3
Delon Wright,27,DAL,PG,6.9,3.3,3.8,21.5
Luguentz Dort,20,OKC,SF,6.8,0.8,2.3,22.8
JaMychal Green,29,LAC,PF,6.8,0.8,6.2,20.7
Denzel Valentine,26,CHI,SF,6.8,1.2,2.1,13.6
Dragan Bender,22,2TM,PF,6.7,1.8,4.6,17.9
Dragan Bender,22,MIL,C,3.7,1.3,2.9,13
Dragan Bender,22,GSW,PF,9,2.1,5.9,21.7
Damyean Dotson,25,NYK,SG,6.7,1.2,1.9,17.4
Kyle Korver,38,MIL,SF,6.7,1.2,2.1,16.6
James Ennis III,29,2TM,SG,6.6,0.9,3.6,18.3
James Ennis III,29,PHI,SF,5.8,0.8,3.1,15.8
James Ennis III,29,ORL,SG,8.5,1.1,4.8,24.5
Chris Boucher,27,TOR,C,6.6,0.4,4.5,13.2
Ersan İlyasova,32,MIL,PF,6.6,0.8,4.8,15.7
Boban Marjanović,31,DAL,C,6.6,0.5,4.5,9.6
JaVale McGee,32,LAL,C,6.6,0.5,5.7,16.6
Nicolò Melli,29,NOP,C,6.6,1.4,3,17.4
Keita Bates-Diop,24,2TM,SF,6.5,0.7,2.9,16.9
Keita Bates-Diop,24,MIN,PF,6.8,0.8,3,17.5
Keita Bates-Diop,24,DEN,SF,5.3,0,2.4,14
T.J. McConnell,27,IND,PG,6.5,5,2.7,18.7
Allonzo Trier,24,NYK,SG,6.5,1.2,1.2,12.1
Sekou Doumbouya,19,DET,PF,6.4,0.5,3.1,19.8
Cory Joseph,28,SAC,PG,6.4,3.5,2.6,24.4
Kevin Knox,20,NYK,SF,6.4,0.9,2.8,17.9
Trey Lyles,24,SAS,PF,6.4,1.1,5.7,20.2
Kelan Martin,24,MIN,SF,6.4,0.7,3.1,16
C.J. Miles,32,WAS,SF,6.4,1.2,1.2,16.1
Lonnie Walker IV,21,SAS,SG,6.4,1.1,2.3,16.2
Marco Belinelli,33,SAS,SG,6.3,1.2,1.7,15.5
Frank Jackson,21,NOP,PG,6.3,1,1.4,13.5
Abdel Nader,26,OKC,SF,6.3,0.7,1.8,15.8
Frank Ntilikina,21,NYK,PG,6.3,3,2.1,20.8
Royce O'Neale,26,UTA,SF,6.3,2.5,5.5,28.9
Caleb Martin,24,CHO,SF,6.2,1.3,2.1,17.6
Taj Gibson,34,NYK,C,6.1,0.8,4.3,16.5
Brandon Goodwin,24,ATL,PG,6.1,1.5,2.1,12.6
Willy Hernangómez,25,CHO,C,6.1,0.9,4.3,12.1
Meyers Leonard,27,MIA,C,6.1,1.1,5.1,20.3
Juancho Hernangómez,24,2TM,PF,6,0.8,4.1,17.4
Juancho Hernangómez,24,DEN,PF,3.1,0.6,2.8,12.4
Juancho Hernangómez,24,MIN,PF,12.9,1.3,7.3,29.4
Devontae Cacok,23,LAL,C,6,1,5,9
Dusty Hannahs,26,MEM,SG,6,0,0.5,6.5
Luke Kornet,24,CHI,C,6,0.9,2.3,15.5
Eric Mika,25,SAC,C,6,0,7,19
Mike Scott,31,PHI,PF,6,0.8,3.6,17.8
Marvin Williams,33,2TM,PF,5.9,1,3.2,19.5
Marvin Williams,33,CHO,PF,6.7,1,2.7,19.7
Marvin Williams,33,MIL,PF,4,1.1,4.4,18.9
Wilson Chandler,32,BRK,PF,5.9,1.1,4.1,21
Georges Niang,26,UTA,PF,5.9,0.7,1.9,14
Dewayne Dedmon,30,2TM,C,5.8,0.5,5.7,17.6
Dewayne Dedmon,30,SAC,C,5.1,0.4,4.9,15.9
Dewayne Dedmon,30,ATL,C,8.1,0.7,8.2,23.3
Maurice Harkless,26,2TM,PF,5.8,1.1,3.9,23
Maurice Harkless,26,LAC,PF,5.5,1,4,22.8
Maurice Harkless,26,NYK,SF,6.8,1.7,3.3,23.8
Kyle Anderson,26,MEM,SF,5.8,2.4,4.3,19.9
DeAndre' Bembry,25,ATL,SG,5.8,1.9,3.5,21.3
PJ Dozier,23,DEN,SG,5.8,2.2,1.9,14.2
Wes Iwundu,25,ORL,SF,5.8,1.2,2.5,18.3
Skal Labissière,23,POR,C,5.8,1.3,5.1,17.2
Anžejs Pasečņiks,24,WAS,C,5.8,0.7,4,16.2
Nickeil Alexander-Walker,21,NOP,SG,5.7,1.9,1.8,12.6
